project_name,classification,type,department_allocation
jkvedaras-219ca63f,Internal Use,Sandbox Cloud Individual Project,eng-support
jlee-0ad3d09a,Internal Use,Sandbox Cloud Individual Project,eng-support
jlim-14a072d5,Internal Use,Sandbox Cloud Individual Project,sales-cs
jlyttle-7b31e786,Internal Use,Sandbox Cloud Individual Project,eng-support
jmartin-92932d23,Internal Use,Sandbox Cloud Individual Project,sales-cs
jmartin-test141859-5f9ddf65,Internal Use,Sandbox Cloud Individual Project,sales-cs
jmartinez-99e5a214,Internal Use,Sandbox Cloud Individual Project,eng-dev
jmccure-7f2fd8b0,Internal Use,Sandbox Cloud Individual Project,eng-quality
jmcgrew-26f2ab64,Internal Use,Sandbox Cloud Individual Project,eng-support
jpereira-b5d4149e,Internal Use,Sandbox Cloud Individual Project,eng-dev
jphilbin-d582e587,Internal Use,Sandbox Cloud Individual Project,sales-cs
jrandazzo-72058b4d,Internal Use,Sandbox Cloud Individual Project,sales-cs
jreed-1bfe7946,Internal Use,Sandbox Cloud Individual Project,eng-support
jroppelt-e69190ae,Internal Use,Sandbox Cloud Individual Project,eng-security
jsandlin-c9fe7132,Internal Use,Sandbox Cloud Individual Project,sales-cs
jsawtelle-2b8767dc,Internal Use,Sandbox Cloud Individual Project,sales-practice-mgmt
jschneeweisz-0afb62a6,Internal Use,Sandbox Cloud Individual Project,eng-security
jshaw-8349b024,Internal Use,Sandbox Cloud Individual Project,eng-dev
jskarbek-e4e00e83,Internal Use,Sandbox Cloud Individual Project,eng-infra
jsolis-7771e83f,Internal Use,Sandbox Cloud Individual Project,sales-cs
jtaylor-8d08964b,Internal Use,Sandbox Cloud Individual Project,sales-cs
jthome-23a5093a,Internal Use,Sandbox Cloud Individual Project,eng-dev
juliemartin-b3e0cc2e,Internal Use,Sandbox Cloud Individual Project,eng-support
jwanjohi-9fcc2218,Internal Use,Sandbox Cloud Individual Project,eng-security
jwong-7a830367,Internal Use,Sandbox Cloud Individual Project,ga-business-tech
jyoung-d1c21572,Internal Use,Sandbox Cloud Individual Project,eng-support
kamil-f200626d,Internal Use,Sandbox Cloud Individual Project,eng-dev
kballon-1c3a72ab,Internal Use,Sandbox Cloud Individual Project,eng-support
kchasse-e6514449,Internal Use,Sandbox Cloud Individual Project,sales-cs
kdusek-5ca2cce5,Internal Use,Sandbox Cloud Individual Project,sales-cs
kgoossens-ff483d2e,Internal Use,Sandbox Cloud Individual Project,sales-cs
khrechyshkina-60eb6363,Internal Use,Sandbox Cloud Individual Project,eng-support
kkwentus-9dd8b2cc,Internal Use,Sandbox Cloud Individual Project,sales-cs
klang-23fc09e6,Internal Use,Sandbox Cloud Individual Project,eng-support
kleinweber-442245a7,Internal Use,Sandbox Cloud Individual Project,eng-support
kmarquart-f9e7e8dc,Internal Use,Sandbox Cloud Individual Project,sales-ps-education
kmchappell-01bfac7d,Internal Use,Sandbox Cloud Individual Project,eng-support
kmcknight-5c9c4d9e,Internal Use,Sandbox Cloud Individual Project,sales-cs
lblockken-786b9798,Internal Use,Sandbox Cloud Individual Project,sales-cs
lbrown-8d140765,Internal Use,Sandbox Cloud Individual Project,eng-support
lcallaghan-f27cbecf,Internal Use,Sandbox Cloud Individual Project,eng-security
lduncalfe-83462497,Internal Use,Sandbox Cloud Individual Project,eng-dev
leipert-4381be1d,Internal Use,Sandbox Cloud Individual Project,eng-dev
lfaus-f8cbc756,Internal Use,Sandbox Cloud Individual Project,sales-cs
lhowitt-47da05c8,Internal Use,Sandbox Cloud Individual Project,sales-cs
lkorbasiewicz-67276b79,Internal Use,Sandbox Cloud Individual Project,eng-support
lkozloff-5ba9ec0e,Internal Use,Sandbox Cloud Individual Project,eng-support
lstahlman-5a200f19,Internal Use,Sandbox Cloud Individual Project,sales-cs
lstucker-01cf16d9,Internal Use,Sandbox Cloud Individual Project,sales-cs
malkobaisy-3a889698,Internal Use,Sandbox Cloud Individual Project,ga-business-tech
mart-e7a6099e,Internal Use,Sandbox Cloud Individual Project,eng-dev
mbadeau-58efffc8,Internal Use,Sandbox Cloud Individual Project,eng-support
mbrandner-e72dc91b,Internal Use,Sandbox Cloud Individual Project,sales-cs
mbursi-6673d026,Internal Use,Sandbox Cloud Individual Project,eng-infra
mcesario-0154ecf6,Internal Use,Sandbox Cloud Individual Project,sales-cs
mchao-5c1aa71f,Internal Use,Sandbox Cloud Individual Project,eng-dev
mcoulibaly-7c414b2b,Internal Use,Sandbox Cloud Individual Project,sales-cs
mfield-da536f30,Internal Use,Sandbox Cloud Individual Project,eng-infra
mgibson-5f1da549,Internal Use,Sandbox Cloud Individual Project,eng-support
mgrabowski-1f688ea6,Internal Use,Sandbox Cloud Individual Project,eng-support
mhenriksen-1dd4ea8b,Internal Use,Sandbox Cloud Individual Project,eng-dev
mjoof-b628d764,Internal Use,Sandbox Cloud Individual Project,sales-cs
mkaeppler-6c0c382b,Internal Use,Sandbox Cloud Individual Project,eng-dev
mkozono-798682b9,Internal Use,Sandbox Cloud Individual Project,eng-dev
mleopard-41f2ea4a,Internal Use,Sandbox Cloud Individual Project,sales-practice-mgmt
mlockhart-56581c10,Internal Use,Sandbox Cloud Individual Project,eng-support
mlunoe-6995b129,Internal Use,Sandbox Cloud Individual Project,eng-dev
mmcvay-f10a6d99,Internal Use,Sandbox Cloud Individual Project,sales-cs
mmora-ff886fd8,Internal Use,Sandbox Cloud Individual Project,eng-support
mnichols-46593b72,Internal Use,Sandbox Cloud Individual Project,eng-ux
mnielsen-2e27a441,Internal Use,Sandbox Cloud Individual Project,eng-dev
mtrainor-d219c857,Internal Use,Sandbox Cloud Individual Project,eng-support
myacksmith-92419432,Internal Use,Sandbox Cloud Individual Project,eng-support
mzajac-5f5b7b07,Internal Use,Sandbox Cloud Individual Project,eng-dev
nblack-7175820e,Internal Use,Sandbox Cloud Individual Project,eng-support
ndao-f96e2f84,Internal Use,Sandbox Cloud Individual Project,sales-cs
ndesilva-681bb1d3,Internal Use,Sandbox Cloud Individual Project,eng-support
nduff-be401e5e,Internal Use,Sandbox Cloud Individual Project,eng-infra
nelbacha-02a64514,Internal Use,Sandbox Cloud Individual Project,eng-support
nexus-dev-bdb87b57,Internal Use,Sandbox Cloud Group Project,eng-managed-services
